timestamp,tweet_text,username,followers_count
2020-06-03 11:42:51,b'@KeshavM75516140 @surendrakrishn @pooja_sharma706 @narendramodi Write about hinduism in Muslims people Twitter and support Muslims in BJP twitters everything will get clear your doubts',b'sailu_narayanam',89
2020-06-03 11:41:31,"b'In line with BJP Government\xe2\x80\x99s motto of \xe2\x80\x98Make in India\xe2\x80\x99, an Empowered Group of Secretaries and Project Development Cells are being constituted to propel investments in India. #InvestInIndia  @narendramodi @narendramodi_in @PMOIndia @makeinindia @investindia'",b'ParasKGhelani',7167
2020-06-03 11:41:10,b'@KeshavM75516140 @surendrakrishn @pooja_sharma706 @narendramodi U are still learning good once write in BJP community for BJP you will understand automatically the reality and against congress in congress community one by one everything gets reviled in just few days you will get clear picture of present govt',b'sailu_narayanam',89
2020-06-03 11:40:42,b'PM Narendra Modi has embarked on a route to make India a superpower by constituting an Empowered Group of Secretaries and Project Development Cell to attract large scale investments. #InvestInIndia  @narendramodi  @narendramodi_in  @PMOIndia  @makeinindia  @investindia',b'bjp_nis',1953
2020-06-03 11:38:49,b'@realDonaldTrump He is following @narendramodi as indian pm party bjp has many influencer to talk about his point and promote modi by tweets and comments. Same @realDonaldTrump has done. I see these things in comments below. \xf0\x9f\x98\x92',b'iamtarun4',29
2020-06-03 11:36:50,b'@rajeshpadmar This happens when @RSSorg @BJP4India @narendramodi @amitshah is silent and become secular. Conversions going on full fledged. First we should stop conversion otherwise there wont be RSS/BJP in coming generation nor hindu. STOP SECULARISM. 1 country for hindus',b'aadishetty',4102
2020-06-03 11:36:24,"b'@goyalsanjeev @narendramodi @CNNnews18 @PrakashJavdekar @rajnathsingh Well, this corrigendum was posted at 1 a.m, so you know their intent. But BJP chamelis,  love getting \xe2\x82\xb9@ped, go back to the same channels for more.'",b'cruelanu',613
2020-06-03 11:35:20,b'@RahulGandhi @narendramodi  We Reject Modi and Boycott BJP \xf0\x9f\x98\xa4',b'MirzaAliKausar2',2
2020-06-03 11:31:55,"b""@MamataOfficial @narendramodi @derekobrienmp @MahuaMoitra @nusratchirps @Kodungolan737 @kkhushal9 @logicalindianz @rkmarar9 @PiyushGoyal @Ajaykumar00009 @ambkcsingh @amitmalviya @BDUTT @CTRavi_BJP @DKShivakumar @prameshjain12 @nkaggere @Nidhi @WFRising Now That This #PMCaresFunds is not Under Scrutiny of #CAG B'coz it's Run by a Private Trust by a Group of Minister's of @narendramodi @BJP4India @RSSorg Like @AmitShah @nsitharamanoffc How Can #PatnaHighCourt insist a Bail Applicant 2 Deposit \xe2\x82\xb915000 in it 4 Granting Bail???""",b'mani24sjcpl',375
2020-06-03 11:29:53,b'@KailashOnline @BJP4Bengal @MamataOfficial @narendramodi Build statue of 3000 crores..bought aeroplane of 8000 crores for PM..But bengal only got 1000 crores for amphan!!!!you can do only dirty politics and playing the life of bengalis..#bjp bangla o bangalir satru',b'Subhank87148959',0
